일자,시가,고가,저가,현재가,거래량
2020-01-31,290.24,291.47,284.53,284.53,"101,455"
2020-01-30,293.27,294.11,287.09,288.37,"101,535"
2020-01-29,294.38,295.67,292.45,293.98,"85,731"
2020-01-28,294.98,296.3,291.3,292.77,"130,172"
2020-01-23,303.77,304.72,301.71,302.33,"86,908"
2020-01-22,301.79,306.52,301.16,306.08,"79,333"
2020-01-21,304.94,306.09,301.85,302.11,"67,631"
2020-01-20,304.99,307.54,304.77,305.58,"78,037"
2020-01-17,305.07,306.05,302.51,303.3,"81,541"
2020-01-16,299.93,302.91,298.95,302.78,"85,707"
2020-01-15,299.91,301.13,298.82,299.74,"71,766"
2020-01-14,302.2,303.61,300.69,301.53,"92,120"
2020-01-13,296.62,300.31,296.53,300.13,"81,682"
2020-01-10,294.8,297.17,294.17,297.06,"94,157"
2020-01-09,293.83,294.41,292.1,294.41,"111,792"
2020-01-08,288.94,291.01,287.3,289.42,"124,529"
2020-01-07,290.01,292.26,289.64,291.23,"65,345"
2020-01-06,287.73,289.41,287.49,288.43,"69,955"
2020-01-03,293.1,294.88,289.04,290.74,"79,773"
2020-01-02,294.19,294.57,289.96,290.35,"66,161"
2019-12-30,294.6,295.49,293.4,293.77,"54,972"
2019-12-27,292.37,296.95,291.28,295.2,"77,505"
2019-12-26,293.12,294.07,291.79,294.06,"68,476"
2019-12-24,295.18,295.25,292.47,292.9,"60,605"
2019-12-23,295.84,296.12,293.81,294.87,"62,094"
2019-12-20,295.58,295.86,293.95,295.31,"75,968"
2019-12-19,295.06,295.84,292.82,294.31,"70,191"
2019-12-18,294.31,295.85,293.05,294.22,"76,912"
2019-12-17,291.76,294.5,290.52,294.4,"94,368"
2019-12-16,289.54,290.8,289.36,289.76,"73,743"
2019-12-13,289.34,290.11,288.32,290.11,"99,615"
2019-12-12,282.62,285.43,282.62,285.11,"133,649"
2019-12-11,279.19,281.03,278.45,280.28,"66,847"
2019-12-10,276.8,279.75,276.62,279.31,"56,665"
2019-12-09,278.31,278.75,277.02,278.03,"70,519"
2019-12-06,275.19,277,274.75,276.56,"70,112"
2019-12-05,275.65,276.63,272.53,273.3,"66,509"
2019-12-04,274.36,274.68,272.53,274.15,"81,917"
2019-12-03,274.93,276.63,273.88,276.19,"67,284"
2019-12-02,278.27,279.44,276.97,277.44,"66,611"
2019-11-29,282.08,282.1,276.34,276.78,"74,603"
2019-11-28,281.23,282.8,281.05,281.23,"61,623"
2019-11-27,283.56,284.02,281.27,282.85,"60,896"
2019-11-26,283.09,284.87,281.77,281.83,"119,522"
2019-11-25,281.77,283.53,281.48,282.19,"64,510"
2019-11-22,278.57,279.89,278.14,279.43,"74,348"
2019-11-21,281.89,282.33,276.98,278.28,"81,751"
2019-11-20,284.27,285.29,282,282.21,"73,554"
2019-11-19,285.74,286.34,283.73,286.23,"68,173"
2019-11-18,287.1,287.78,285.94,287.18,"56,111"
2019-11-15,283.85,287.72,283.3,287.29,"71,653"
2019-11-14,281.9,283.93,281.1,283.93,"79,764"
2019-11-13,282.28,282.49,280.62,281.28,"60,131"
2019-11-12,281.9,283.65,280.79,283.65,"65,567"
2019-11-11,283.3,283.3,280.4,280.85,"61,560"
2019-11-08,285.81,286.12,282.57,283.13,"73,682"
2019-11-07,284.04,284.82,283.05,284.37,"70,724"
2019-11-06,284.31,286.43,283.7,284.52,"77,954"
2019-11-05,282.99,284.46,282.27,284.38,"76,359"
2019-11-04,279.9,282.77,279.9,282.54,"76,998"
2019-11-01,276.17,278.55,275.59,278.43,"58,542"
2019-10-31,276.84,279.04,275.82,275.82,"78,339"
2019-10-30,277.49,277.49,274.95,275.51,"72,533"
2019-10-29,279.25,279.49,276.81,277.55,"57,148"
2019-10-28,278.16,279.42,277.29,277.78,"59,073"
2019-10-25,277.6,277.67,275.7,277.07,"58,281"
2019-10-24,277.7,277.84,274.31,276.7,"73,683"
2019-10-23,276.83,277.29,275.34,276.23,"65,290"
2019-10-22,275.4,278.19,274.93,277.41,"63,876"
2019-10-21,273.87,274.1,272.67,273.79,"45,392"
2019-10-18,275.99,277.06,272.28,272.81,"71,469"
2019-10-17,275.92,276.68,274.62,275.57,"53,874"
2019-10-16,276.26,277.59,275.24,276.32,"65,378"
2019-10-15,273.85,275.09,273.83,274.34,"53,052"
2019-10-14,274.71,275.75,273.97,274.23,"71,046"
2019-10-11,271.68,272.68,270.58,271.3,"59,636"
2019-10-10,268.79,270.78,266.23,268.8,"98,180"
2019-10-08,268.9,271.51,267.97,271.36,"75,077"
2019-10-07,269.12,269.75,266.83,267.67,"53,573"
2019-10-04,268.14,270.16,267.39,267.39,"62,876"
2019-10-02,272.39,272.42,268.55,268.55,"66,211"
2019-10-01,273.43,275.38,272.81,274.42,"52,634"
2019-09-30,270.61,273.85,270.06,273.55,"54,691"
2019-09-27,273.32,273.4,270.52,271.33,"57,736"
2019-09-26,275.61,276.38,273.5,274.89,"89,589"
2019-09-25,276.67,277.04,274.12,274.42,"70,837"
2019-09-24,276.41,278.17,275.55,277.97,"68,274"
2019-09-23,275.86,277.11,275.64,276.65,"60,185"
2019-09-20,275.01,276.67,274.46,276.44,"74,026"
2019-09-19,273.11,276.15,273.03,274.92,"70,498"
2019-09-18,271.88,273.72,271.04,273.06,"67,595"
2019-09-17,271.46,272.26,270.9,271.68,"73,743"
2019-09-16,271.48,272.03,269.59,272.02,"103,336"
2019-09-11,270.35,271.35,269.58,270.84,"103,898"
2019-09-10,267.96,269.13,267.35,268.76,"66,344"
2019-09-09,266.11,268.67,265.92,267.4,"62,206"
2019-09-06,266.2,266.36,264.74,265.53,"59,196"
2019-09-05,262.53,266,262.27,264.44,"88,986"
2019-09-04,257.89,261.69,257.76,261.69,"69,291"
2019-09-03,258.55,259.67,257.4,258.25,"64,324"
2019-09-02,258.25,259.74,257.8,259.08,"54,887"
2019-08-30,256.85,259.61,256.72,259,"94,156"
2019-08-29,255.68,256.28,253.6,254.31,"64,846"
2019-08-28,254.2,255.98,253.65,255.53,"58,341"
2019-08-27,253.74,254.96,252.53,253.5,"93,381"
2019-08-26,251.8,253.14,250.99,252.19,"62,611"
2019-08-23,255.11,256.88,254.91,256.11,"54,778"
2019-08-22,258.53,258.73,256.25,256.28,"67,254"
2019-08-21,257.15,259.49,257.11,258.38,"65,481"
2019-08-20,255.53,258.62,254.74,258.05,"81,693"
2019-08-19,255.2,255.84,254.25,255.11,"66,018"
2019-08-16,252.76,253.94,251.46,253.9,"71,830"
2019-08-14,255.84,256.82,254.59,254.86,"82,238"
2019-08-13,253.5,254.58,252.63,252.83,"76,819"
2019-08-12,255.57,256.43,254.43,255.35,"69,377"
2019-08-09,255.13,256.15,254.41,254.85,"117,692"
2019-08-08,254.11,255.33,252.37,252.4,"163,707"
2019-08-07,254.46,254.9,251.08,252,"90,744"
2019-08-06,250.85,257.04,250.24,253.41,"123,167"
2019-08-05,261.1,261.4,256.76,257.19,"131,042"
2019-08-02,262.61,263.94,261.75,262.99,"99,663"
2019-08-01,264.97,267.44,264.47,265.73,"72,578"
2019-07-31,268.46,269.14,265,266.34,"96,236"
2019-07-30,268.69,269.79,268.33,268.95,"64,529"
2019-07-29,271.21,271.91,267.07,267.75,"78,754"
2019-07-26,271.41,272.56,270.57,272.25,"89,843"
2019-07-25,274.08,274.62,271.25,273.04,"95,653"
2019-07-24,275.12,276.48,272.91,273.22,"84,288"
2019-07-23,274.93,276.56,274.84,275.92,"95,081"
2019-07-22,273.9,275.35,273.57,274.55,"60,909"
2019-07-19,272.71,274.95,272.21,274.55,"87,942"
2019-07-18,271.05,271.63,269.73,270.67,"80,138"
2019-07-17,272.13,272.28,270.29,271.48,"117,945"
2019-07-16,272.79,274.54,272.14,274.05,"137,054"
2019-07-15,272.06,273.38,270.99,272.64,"83,605"
2019-07-12,272.21,273.23,271.28,272.68,"55,656"
2019-07-11,270.58,272.97,270.46,271.78,"107,368"
2019-07-10,269.29,270.33,268.6,268.75,"67,510"
2019-07-09,269.6,270.22,267.72,267.72,"71,884"
2019-07-08,271.38,271.67,268.38,268.55,"75,098"
2019-07-05,274.74,275.23,272.41,274.35,"60,022"
2019-07-04,273.18,274.61,271.93,274.54,"77,523"
2019-07-03,275.57,276.69,271.9,272.37,"97,522"
2019-07-02,276.06,277.46,274.63,275.97,"65,541"
2019-07-01,279.59,279.68,276.85,277.27,"74,357"
2019-06-28,278.03,278.56,276.58,277.5,"67,598"
2019-06-27,275.47,278.63,275.09,277.75,"66,303"
2019-06-26,275.21,276.36,274.66,275.53,"58,818"
2019-06-25,275.33,277.02,274.19,275.28,"60,506"
2019-06-24,275.91,276.73,275.13,275.58,"55,539"
2019-06-21,276.17,276.26,274.6,275.48,"77,279"
2019-06-20,274.63,276.09,274.43,276.01,"55,336"
2019-06-19,274.4,275.6,274.08,275.31,"69,733"
2019-06-18,269.77,271.87,269.77,271.36,"65,723"
2019-06-17,269.83,271.59,269.14,270.09,"57,064"
2019-06-14,270.19,271.55,268.96,270.48,"66,714"
2019-06-13,271.96,272.46,268.38,271.13,"95,795"
2019-06-12,273.14,274.32,272,272.74,"66,921"
2019-06-11,271.48,273.69,271.24,273.21,"61,242"
2019-06-10,270.32,272.2,268.68,272.1,"60,889"
2019-06-07,267.97,269.63,266.27,268.27,"67,967"
2019-06-05,270.1,270.46,267.46,267.99,"67,510"
2019-06-04,267.84,268.47,266.72,267.66,"70,288"
2019-06-03,262.68,268.55,262.33,268.16,"83,610"
2019-05-31,262.48,265.21,261.53,263.89,"77,788"
2019-05-30,261.58,264.23,261.58,263.93,"70,344"
2019-05-29,264.1,264.1,260.22,261.37,"82,787"
2019-05-28,264.38,266.16,263.27,264.7,"147,263"
2019-05-27,264.18,265.85,263.17,264.4,"53,143"
2019-05-24,264.7,266.11,263.1,264.42,"67,233"
2019-05-23,266.4,267.12,264.5,266.38,"71,658"
2019-05-22,267.01,267.6,263.95,266.65,"61,655"
2019-05-21,265.25,268.55,264.79,266.12,"81,019"
2019-05-20,265.9,267.65,264.33,264.96,"64,227"
2019-05-17,267.85,268.06,263.94,264.35,"75,096"
2019-05-16,269.83,269.96,265.24,265.99,"75,959"
2019-05-15,268.42,271,267.62,269.64,"77,018"
2019-05-14,266.03,270.42,265.55,268.57,"82,188"
2019-05-13,269.8,271.54,268.55,268.72,"66,867"
2019-05-10,273.37,274.32,269.71,272.06,"89,435"
2019-05-09,278.83,279.63,271,271,"124,007"
2019-05-08,277.85,281.84,277.84,280.15,"75,002"
2019-05-07,280.89,281.66,278.95,281.31,"97,721"
2019-05-03,285.64,285.95,283.14,283.67,"67,794"
2019-05-02,283.37,286.87,283.14,286.12,"84,184"
2019-04-30,286.25,286.59,282.61,284.92,"77,989"
