일자,시가,고가,저가,종가,거래량
2020-01-31,"57,800","58,400","56,400","56,400","19,749,457"
2020-01-30,"58,800","58,800","56,800","57,200","20,821,939"
2020-01-29,"59,100","59,700","58,800","59,100","16,446,102"
2020-01-28,"59,400","59,400","58,300","58,800","23,664,541"
2020-01-23,"61,800","61,800","60,700","60,800","14,916,555"
2020-01-22,"60,500","62,600","60,400","62,300","15,339,565"
2020-01-21,"62,000","62,400","61,200","61,400","11,142,693"
2020-01-20,"62,000","62,800","61,700","62,400","12,528,855"
2020-01-17,"61,900","62,000","61,000","61,300","16,025,661"
2020-01-16,"59,100","60,700","59,000","60,700","14,381,774"
2020-01-15,"59,500","59,600","58,900","59,000","14,300,928"
2020-01-14,"60,400","61,000","59,900","60,000","16,906,295"
2020-01-13,"59,600","60,000","59,100","60,000","11,359,139"
2020-01-10,"58,800","59,700","58,300","59,500","16,000,170"
2020-01-09,"58,400","58,600","57,400","58,600","24,102,579"
2020-01-08,"56,200","57,400","55,900","56,800","23,501,171"
2020-01-07,"55,700","56,400","55,600","55,800","10,009,778"
2020-01-06,"54,900","55,600","54,600","55,500","10,278,951"
2020-01-03,"56,000","56,600","54,900","55,500","15,422,255"
2020-01-02,"55,500","56,000","55,000","55,200","12,993,228"
2019-12-30,"56,200","56,600","55,700","55,800","8,356,767"
2019-12-27,"55,700","56,900","55,500","56,500","12,313,056"
2019-12-26,"54,700","55,400","54,400","55,400","9,645,034"
2019-12-24,"55,600","55,700","54,800","55,000","11,868,463"
2019-12-23,"56,100","56,400","55,100","55,500","9,839,252"
2019-12-20,"56,100","56,500","55,600","56,000","12,095,519"
2019-12-19,"57,000","57,300","55,500","56,000","14,180,520"
2019-12-18,"56,700","57,200","56,000","56,300","15,558,208"
2019-12-17,"55,800","56,700","55,400","56,700","19,358,433"
2019-12-16,"54,500","54,900","54,300","54,700","11,512,405"
2019-12-13,"54,500","54,800","53,900","54,700","18,120,261"
2019-12-12,"53,000","53,300","52,700","53,300","29,178,697"
2019-12-11,"51,500","52,200","51,400","51,900","11,379,521"
2019-12-10,"51,000","51,600","50,700","51,500","6,882,771"
2019-12-09,"50,900","51,400","50,700","51,200","8,470,627"
2019-12-06,"50,100","50,900","49,950","50,400","11,414,563"
2019-12-05,"50,200","50,400","49,500","49,500","10,449,715"
2019-12-04,"49,600","49,850","49,000","49,450","13,246,549"
2019-12-03,"49,800","50,300","49,500","49,900","12,059,812"
2019-12-02,"50,900","51,300","50,400","50,400","18,877,252"
2019-11-29,"51,200","51,400","50,200","50,300","11,179,334"
2019-11-28,"51,900","52,100","51,300","51,300","6,833,885"
2019-11-27,"51,800","52,300","51,600","52,200","7,546,261"
2019-11-26,"51,900","52,900","51,800","51,800","27,372,226"
2019-11-25,"52,200","52,600","51,700","51,800","9,050,625"
2019-11-22,"51,000","51,600","50,900","51,600","8,478,310"
2019-11-21,"51,600","52,100","50,600","51,000","14,298,646"
2019-11-20,"53,400","53,400","52,000","52,000","12,560,070"
2019-11-19,"53,200","53,500","52,700","53,500","8,907,177"
2019-11-18,"53,600","53,800","53,200","53,500","7,746,554"
2019-11-15,"52,900","53,700","52,600","53,700","9,703,360"
2019-11-14,"51,900","52,800","51,900","52,800","12,010,018"
2019-11-13,"52,500","52,500","52,000","52,500","6,225,196"
2019-11-12,"51,800","52,600","51,600","52,600","6,576,148"
2019-11-11,"52,200","52,200","51,400","51,600","8,185,952"
2019-11-08,"53,200","53,300","52,000","52,100","11,603,290"
2019-11-07,"53,400","53,400","52,400","52,900","9,257,116"
2019-11-06,"52,900","53,500","52,700","53,300","14,361,133"
2019-11-05,"52,400","52,700","52,100","52,700","10,581,034"
2019-11-04,"51,700","52,300","51,400","52,300","13,012,411"
2019-11-01,"50,600","51,200","50,400","51,200","8,467,846"
2019-10-31,"51,000","51,400","50,300","50,400","10,304,777"
2019-10-30,"50,700","50,800","50,200","50,400","8,959,435"
2019-10-29,"51,400","51,700","50,800","51,100","7,581,629"
2019-10-28,"50,700","51,500","50,700","51,300","6,431,522"
2019-10-25,"50,800","51,200","50,500","50,900","7,879,897"
2019-10-24,"52,500","52,500","50,500","50,700","21,185,785"
2019-10-23,"51,300","51,500","50,800","51,200","8,663,880"
2019-10-22,"50,800","51,500","50,700","51,200","10,898,729"
2019-10-21,"49,900","50,400","49,800","50,300","4,406,531"
2019-10-18,"50,300","50,900","49,650","49,900","8,483,106"
2019-10-17,"50,500","50,600","50,100","50,500","6,701,380"
2019-10-16,"50,700","50,900","50,400","50,700","9,136,282"
2019-10-15,"49,900","50,200","49,900","50,100","6,058,105"
2019-10-14,"50,000","50,300","49,850","50,000","11,130,635"
2019-10-11,"49,000","49,450","48,800","49,150","7,783,275"
2019-10-10,"48,200","49,200","48,000","48,550","18,639,855"
2019-10-08,"47,900","49,000","47,600","48,900","14,239,367"
2019-10-07,"48,350","48,700","47,650","47,750","7,047,273"
2019-10-04,"47,400","48,650","47,350","48,000","9,331,695"
2019-10-02,"48,350","48,400","47,600","47,600","8,382,463"
2019-10-01,"48,900","49,100","48,650","48,850","6,206,035"
2019-09-30,"48,050","49,250","47,900","49,050","9,497,119"
2019-09-27,"48,000","48,700","48,000","48,400","8,048,041"
2019-09-26,"49,000","49,250","48,900","49,200","8,494,756"
2019-09-25,"49,200","49,350","48,800","48,900","9,187,141"
2019-09-24,"49,050","49,650","48,850","49,500","7,871,955"
2019-09-23,"49,250","49,300","49,000","49,300","7,568,553"
2019-09-20,"49,400","49,600","49,100","49,200","15,460,210"
2019-09-19,"48,050","49,200","47,850","49,150","16,461,413"
2019-09-18,"46,900","47,700","46,800","47,700","10,413,027"
2019-09-17,"47,000","47,100","46,800","46,900","7,006,280"
2019-09-16,"47,000","47,100","46,400","47,100","15,550,926"
2019-09-11,"47,300","47,400","46,800","47,150","16,141,619"
2019-09-10,"47,100","47,200","46,550","47,000","9,231,792"
2019-09-09,"46,450","47,000","46,300","46,900","9,434,157"
2019-09-06,"46,500","46,500","45,850","46,300","9,896,562"
2019-09-05,"44,800","46,100","44,450","45,700","18,297,430"
2019-09-04,"43,250","44,100","43,150","44,100","12,441,837"
2019-09-03,"43,550","43,650","43,100","43,250","9,774,941"
2019-09-02,"44,850","44,850","43,650","43,800","7,185,537"
2019-08-30,"43,750","44,300","43,750","44,000","9,899,073"
2019-08-29,"44,200","44,200","43,050","43,400","10,768,862"
2019-08-28,"44,100","44,400","43,750","44,150","5,758,333"
2019-08-27,"43,650","44,200","43,600","44,050","16,883,932"
2019-08-26,"43,050","43,800","42,950","43,600","7,954,949"
2019-08-23,"43,800","44,200","43,650","43,950","5,017,381"
2019-08-22,"44,500","44,700","43,850","44,050","8,061,177"
2019-08-21,"44,350","44,800","44,150","44,500","6,571,717"
2019-08-20,"43,950","44,600","43,550","44,450","8,434,205"
2019-08-19,"44,350","44,350","43,500","43,600","6,014,218"
2019-08-16,"43,800","43,900","43,300","43,900","9,528,115"
